"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5361","testCalculation","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.CalculatorTest","CalculatorTest_Vivo","tests.CalculatorTest","testCalculation"
"","8207","testResultsOnHistoryPage","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.CalculatorTest","CalculatorTest_Vivo","tests.CalculatorTest","testResultsOnHistoryPage"
"","4327","testACButton","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.CalculatorTest","CalculatorTest_Vivo","tests.CalculatorTest","testACButton"
"","12147","testClearHistory","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.CalculatorTest","CalculatorTest_Vivo","tests.CalculatorTest","testClearHistory"
"","11767","testClearHistory","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.CalculatorTest","CalculatorTest_Vivo","tests.CalculatorTest","testClearHistory"
"","4311","testCalculation","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.CalculatorTest","CalculatorTest_Vivo","tests.CalculatorTest","testCalculation"
"","5648","testACButton","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.CalculatorTest","CalculatorTest_Vivo","tests.CalculatorTest","testACButton"
"","12710","testClearHistory","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.CalculatorTest","CalculatorTest_Vivo","tests.CalculatorTest","testClearHistory"
"","4776","testCalculation","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.CalculatorTest","CalculatorTest_Vivo","tests.CalculatorTest","testCalculation"
"","4004","openAppTest","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.DemoTest","VivoTest","tests.DemoTest","openAppTest"
"","4903","testACButton","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.CalculatorTest","CalculatorTest_Vivo","tests.CalculatorTest","testACButton"
"","7475","testResultsOnHistoryPage","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.CalculatorTest","CalculatorTest_Vivo","tests.CalculatorTest","testResultsOnHistoryPage"
"","8657","testResultsOnHistoryPage","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.CalculatorTest","CalculatorTest_Vivo","tests.CalculatorTest","testResultsOnHistoryPage"
"","4015","openAppTest","Appium Test Suite","2025-11-08","passed","2025-11-08","tests.DemoTest","SamsungTest","tests.DemoTest","openAppTest"
